編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWPMLNJJIKFFDF78EC,17,10.31,共有部分,鋼筋混凝土造,88年2月1日,二十三層,
RPXOMLNJJIKFFIF09CC,32,84.98,見其他登記事項,鋼筋混凝土造,72年12月24日,五層,
RPSPMLNJJIKFFDF18CC,18,36.83,商業用,鋼筋混凝土造,86年7月3日,二十六層,
RPWPMLNJJIKFFDF58CC,,178.93,住家用,鋼筋混凝土造,104年7月9日,十層,
RPTPMLNJJIKFFEF38CC,1,107.20,住家用,鋼筋混凝土造,103年10月8日,十三層,
RPOQMLNJJIKFFEF97CC,1,94.56,住家用,鋼筋混凝土造,103年10月24日,十五層,
RPOSMLNJJIKFFEF18CC,4,147.62,見其他登記事項,鋼筋混凝土造,100年11月3日,十一層,
RPPSMLNJJIKFFEF28CC,4,90.01,住家用,鋼筋混凝土造,100年11月3日,十一層,
RPXNMLOJJIKFFEF68CC,38,67.57,住家用,鋼筋混凝土造,66年6月9日,四層,
RPTOMLOJJIKFFEF38CC,3,57.70,住家用,鋼筋混凝土造,101年11月19日,二十一層,
RPOPMLOJJIKFFEF97CC,21,106.85,住家用,鋼筋混凝土造,83年8月9日,十二層,
RPPPMLOJJIKFFAF67CC,,350.40,工商用,鋼筋混凝土造,,二層,
RPTPMLOJJIKFFAF08CC,19,28.65,住家用,鋼筋混凝土造,85年5月22日,十四層,
RPTPMLOJJIKFFAF08CC,19,5.40,共有部份,鋼筋混凝土造,85年5月22日,十四層,
RPTPMLOJJIKFFAF08CC,19,4.91,共有部份,鋼筋混凝土造,85年5月22日,十四層,
RPUQMLOJJIKFFAF28CC,7,161.40,住家用,鋼骨鋼筋混凝土造,97年8月6日,二十五層,
RPUQMLOJJIKFFAF28CC,7,33.95,共有部份,鋼骨鋼筋混凝土造,97年8月6日,二十五層,
RPUQMLOJJIKFFAF28CC,7,25.85,共有部份,鋼骨鋼筋混凝土造,97年8月6日,二十五層,
RPUQMLOJJIKFFAF28CC,7,1.95,共有部份,鋼骨鋼筋混凝土造,97年8月6日,二十五層,
RPUQMLOJJIKFFAF28CC,7,34.44,共有部份,鋼骨鋼筋混凝土造,97年8月6日,二十五層,
RPQPMLOJJIKFFHF48CC,16,89.07,商業用,鋼筋混凝土造,88年5月30日,二十三層,
RPQPMLOJJIKFFHF48CC,16,19.99,共有部分,鋼筋混凝土造,88年5月30日,二十三層,
RPTQMLOJJIKFFAF38EC,44,157.14,住商用,加強磚造,60年4月9日,四層,
RPOOMLOJJIKFFGF08CC,50,507.66,工業用,加強磚造,54年5月1日,二層,
RPPOMLOJJIKFFGF18CC,49,490.05,工業用,見其他登記事項,55年6月30日,一層,
RPTOMLOJJIKFFGF58CC,28,123.97,見其他登記事項,鋼筋混凝土造,76年6月11日,三層,
RPOOMLOJJIKFFCF77DC,23,69.67,工業用,鋼筋混凝土造,81年11月19日,十層,
RPOOMLOJJIKFFCF77DC,23,22.34,共有部分,鋼筋混凝土造,81年11月19日,十層,
RPOOMLOJJIKFFCF77DC,23,14.57,見使用執照,鋼筋混凝土造,81年11月19日,十層,
RPPOMLOJJIKFFCF87DC,23,69.67,工業用,鋼筋混凝土造,81年11月19日,十層,
RPPOMLOJJIKFFCF87DC,23,22.34,共有部分,鋼筋混凝土造,81年11月19日,十層,
RPPOMLOJJIKFFCF87DC,23,14.57,見使用執照,鋼筋混凝土造,81年11月19日,十層,
RPQOMLOJJIKFFDF08DC,28,373.24,住工用,鋼筋混凝土造,77年3月6日,二層,
RPUNMLPJJIKFFGF68CC,11,855.50,住商用,鋼筋混凝土造,93年10月12日,三層,
RPUOMLPJJIKFFHF88CC,6,184.49,見其他登記事項,見其他登記事項,98年10月15日,十八層,
RPUOMLPJJIKFFHF88CC,6,38.09,共有部分,見其他登記事項,98年10月15日,十八層,
