鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
樹林區,房地(土地+建物),新北市樹林區長壽街21巷1~30號,41.75,住,,,10410,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,83.6,3,2,1,有,無,無,9000,108,,0.0,0,,RPWOMLMJJIKFFIF88CC
蘆洲區,建物,新北市蘆洲區長樂路91~120號,0.0,,,,10407,土地0建物2車位0,二層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1020415,462.03,2,2,2,有,無,無,100000,216,,0.0,0,,RPQOMLMJJIKFFGF28EC
中和區,建物,新北市中和區中山路三段91~120號,0.0,住,,,10410,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0661018,82.66,0,1,1,有,無,無,61000,738,,0.0,0,1.本案租金含增建。2.104年11月01日至104年11月30日止為免租裝潢期。,RPUNMLNJJIKFFHF68DC
土城區,房地(土地+建物),新北市土城區延吉街91~120號,24.49,住,,,10409,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690507,81.68,2,1,1,有,無,無,11000,135,,0.0,0,,RPUQMLNJJIKFFAF38EC
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,5.38,住,,,10410,土地1建物1車位0,二十三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880201,46.129999999999995,1,1,1,有,有,無,9000,195,,0.0,0,1.含管理費。,RPSOMLNJJIKFFDF28EC
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,9.31,住,,,10410,土地1建物1車位0,十八層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,95.83,2,2,2,有,有,有,13500,141,,0.0,0,1.含管理費。,RPTOMLNJJIKFFDF38EC
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,3.91,住,,,10410,土地1建物1車位0,九層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,41.72,1,1,1,有,有,有,8000,192,,0.0,0,1.含管理費(每坪45元)。,RPUOMLNJJIKFFDF48EC
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,5.35,住,,,10411,土地1建物1車位0,十九層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880201,47.44,1,1,1,有,有,有,10000,211,,0.0,0,1.含管理費(每坪45元)。,RPQPMLNJJIKFFDF18EC
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,5.54,住,,,10411,土地1建物1車位0,二十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880201,46.11,1,1,1,有,有,有,8500,184,,0.0,0,1.含管理費(每坪45元)。,RPWPMLNJJIKFFDF78EC
樹林區,房地(土地+建物),新北市樹林區樹新路34巷1~30號,22.06,住,,,10410,土地1建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0721224,84.98,0,1,1,有,無,無,23000,271,,0.0,0,,RPXOMLNJJIKFFIF09CC
