編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLQJJIKFFEH48CA,11,29.06,共有部份,鋼筋混凝土造,94年3月25日,十四層,
RPTNMLQJJIKFFEH48CA,11,20.28,共有部份,鋼筋混凝土造,94年3月25日,十四層,
RPTNMLQJJIKFFEH48CA,11,84.79,住家用,鋼筋混凝土造,94年3月25日,十四層,八層
RPTNMLQJJIKFFEH48CA,11,9.23,共有部份,鋼筋混凝土造,94年3月25日,十四層,
RPVNMLQJJIKFFEH68CA,21,80.80,見其他登記事項,鋼筋混凝土造,83年5月27日,四層,一層
RPVNMLQJJIKFFEH68CA,21,3.40,共有部份,鋼筋混凝土造,83年5月27日,四層,
RPPOMLQJJIKFFEH18CA,22,90.73,住家用,鋼筋混凝土造,82年8月20日,五層,三層
RPPOMLQJJIKFFEH18CA,22,5.16,共有部份,鋼筋混凝土造,82年8月20日,五層,
RPPOMLQJJIKFFEH18CA,22,51.33,共有部份,鋼筋混凝土造,82年8月20日,五層,
RPTOMLKLJIKFFDH08CA,21,26.32,住家用,鋼筋混凝土造,84年3月24日,十五層,十五層
RPTOMLKLJIKFFDH08CA,21,9.82,共同使用部份,鋼筋混凝土造,84年3月24日,十五層,
RPTOMLKLJIKFFDH08CA,21,32.55,共同使用部份,鋼筋混凝土造,84年3月24日,十五層,
RPSNMLMKJIKFFDH97CA,13,95.89,住家用,鋼筋混凝土造,92年2月19日,十四層,十層
RPSNMLMKJIKFFDH97CA,13,19.48,見其他登記事項,鋼筋混凝土造,92年2月19日,十四層,
RPSNMLMKJIKFFDH97CA,13,45.70,見其他登記事項,鋼筋混凝土造,92年2月19日,十四層,
RPOPMLRKJIKFFDH28CA,20,160.82,住家用,鋼筋混凝土造,84年11月16日,四層,一層 二層 三層 四層 屋頂突出物
RPUQMLKKJIKFFDH48EA,8,154.56,見其他登記事項,鋼筋混凝土造,96年8月22日,三層,一層 二層 三層
RPUQMLKKJIKFFDH48EA,9,.29,見其他登記事項,鋼筋混凝土造,96年3月19日,三層,一層 二層 三層
RPUQMLKKJIKFFDH48EA,9,1.48,見其他登記事項,鋼筋混凝土造,96年3月19日,三層,一層 二層 三層 屋頂突出物
