編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPORMLTJJIKFFHF98CC,安樂段,.00,都市：住
RPQRMLTJJIKFFHF56CC,大仁段,.00,都市：住
RPRRMLTJJIKFFHF66CC,圓通段,.00,都市：住
RPTRMLTJJIKFFHF86CC,捷運段,.00,都市：其他
RPPSMLTJJIKFFHF56CC,盛昌段,.00,都市：住
RPQSMLTJJIKFFHF66CC,信義段,14.08,都市：住
RPXSMLTJJIKFFHF37CC,安邦段,17.01,都市：住
RPWNMLKKJIKFFIF68CC,大學段一小段,20.83,都市：住
RPQPMLKKJIKFFIF28CC,圳生段,218.00,都市：工
RPOQMLKKJIKFFAF37CC,江子翠段溪頭小段,32.00,都市：住
RPQQMLKKJIKFFAF57CC,江子翠段第三崁小段,.46,都市：住
RPQQMLKKJIKFFAF57CC,江子翠段第三崁小段,.15,都市：住
RPQQMLKKJIKFFAF57CC,江子翠段第三崁小段,5.78,都市：住
RPVQMLKKJIKFFAF08CC,民族段,.00,都市：住
RPXNMLKKJIKFFEF38CC,正德段,21.33,都市：住
RPUPMLKKJIKFFEF28CC,鄧公段,3.85,都市：住
RPUPMLKKJIKFFEF28CC,鄧公段,1.21,都市：住
RPOSMLKKJIKFFEF97CC,公司田段,25.97,都市：住
RPUOMLLKJIKFFEF28CC,龍米段,1073.51,都市：住
RPVOMLLKJIKFFEF38CC,海天段,19.97,都市：住
RPWNMLLKJIKFFAF97CC,介壽段,.00,都市：商
RPWNMLLKJIKFFAF97CC,介壽段,.00,都市：商
RPWNMLLKJIKFFAF97CC,介壽段,.00,都市：商
RPUOMLLKJIKFFAF87CC,新雅段,.00,都市：住
RPTOMLLKJIKFFBF87CC,化成段,40.28,都市：工
RPQRMLLKJIKFFBF87CC,光榮段,227.30,都市：工
RPQRMLLKJIKFFBF87CC,光榮段,226.15,都市：工
RPQNMLLKJIKFFCF57CC,惠國段,139.79,都市：住
RPUNMLLKJIKFFCF97CC,太平段,.50,都市：住
RPUNMLLKJIKFFCF97CC,太平段,1.81,都市：住
RPSOMLLKJIKFFEF18DC,公司田段,.00,非都市： ; 非都市編定：
RPUNMLMKJIKFFHF78EC,雙和段,8.16,都市：商
RPUNMLMKJIKFFHF78EC,雙和段,1.61,都市：住
RPUNMLMKJIKFFCF08CC,小城段,67.98,都市：住
RPWNMLMKJIKFFCF28CC,寶強段,151.55,都市：住
RPUNMLMKJIKFFIF68CC,大學段一小段,9.75,都市：商
RPRPMLMKJIKFFIF58CC,大學段二小段,8.72,都市：住
RPUOMLMKJIKFFHF68CC,中信段,.00,都市：住
RPUOMLMKJIKFFHF68CC,中信段,.00,都市：住
RPTNMLMKJIKFFAF77CC,樂利段,23.65,都市：住
RPSNMLMKJIKFFEF08CC,仁愛段,.00,都市：住
RPTNMLMKJIKFFEF18CC,正德段,19.02,都市：住
RPOPMLMKJIKFFEF87CC,公司田段,10.54,都市：住
RPPPMLMKJIKFFEF97CC,馬偕段,10.87,都市：住
RPRNMLMKJIKFFDF87CC,福德段,.00,都市：住
RPSNMLMKJIKFFDF97CC,智興段,541.00,都市：住
RPXNMLMKJIKFFDF48CC,昊天段,8.64,都市：工
RPOOMLMKJIKFFDF67CC,昊天段,23.75,都市：工
RPVOMLMKJIKFFDF38CC,同新段,18.32,都市：工
RPXOMLMKJIKFFDF58CC,同新段,5.63,都市：工
RPPNMLNKJIKFFDF77CC,智興段,.00,都市：商
