編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLNKJIKFFAV96DA,21,.33,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.33,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.33,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.33,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.33,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.33,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.33,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.33,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.33,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.33,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.24,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.24,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.25,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPVNMLNKJIKFFAV96DA,21,.26,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPSNMLPLJIKFFAV96DA,34,111.78,住家用,鋼筋混凝土造,70年8月21日,二層,一層 二層
RPTNMLPLJIKFFAV07DA,21,87.28,見其他登記事項,鋼筋混凝土造,83年12月17日,八層,五層
RPTNMLPLJIKFFAV07DA,21,12.48,見其他登記事項,鋼筋混凝土造,83年12月17日,八層,
RPTNMLPLJIKFFAV07DA,21,18.65,見其他登記事項,鋼筋混凝土造,83年12月17日,八層,
RPTNMLPLJIKFFAV07DA,21,9.04,見其他登記事項,鋼筋混凝土造,83年12月17日,八層,
RPPNMLTKJIKFFDV17CA,21,34.45,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,八層
RPPNMLTKJIKFFDV17CA,21,7.16,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
SPPNMLTKJIKFFDV27CA,21,31.54,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,八層
SPPNMLTKJIKFFDV27CA,21,6.07,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPSOMLSJKIKFFAV17CA,,228.10,住家用,見其他登記事項,104年8月13日,三層,一層 二層 三層
