編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLQJJIKFFCE58CC,10,143.88,住家用,鋼筋混凝土造,94年12月28日,十五層,
RPPNMLTJJIKFFCE08CC,30,82.92,,鋼筋混凝土造,74年12月13日,五層,
RPVNMLTJJIKFFCE68CC,32,88.43,,鋼筋混凝土造,73年4月12日,五層,
RPUNMLTJJIKFFBE48CC,27,102.28,,鋼筋混凝土造,78年1月14日,十七層,
RPQOMLTJJIKFFBE18CC,41,297.45,,鋼筋混凝土造,63年8月14日,四層,
RPRNMLTJJIKFFAE08CC,8,134.62,住家用,鋼筋混凝土造,96年5月10日,十五層,
RPXNMLTJJIKFFEE09CC,35,97.98,,加強磚造,69年8月15日,二層,
RPOOMLTJJIKFFEE28CC,1,85.42,住家用,鋼筋混凝土造,103年11月4日,十五層,
RPTOMLTJJIKFFDE68CC,21,979.63,商業用,鋼筋混凝土造,82年6月11日,五層,
RPTOMLTJJIKFFDE68CC,21,29.33,商業用,鋼筋混凝土造,82年6月11日,五層,
RPTOMLTJJIKFFDE68CC,21,662.18,見使用執照,鋼筋混凝土造,82年6月11日,五層,
RPQPMLTJJIKFFDE48CC,30,95.29,,鋼筋混凝土造,75年1月28日,五層,
RPQNMLTJJIKFFGE58CC,3,169.09,見其他登記事項,見其他登記事項,101年6月1日,十五層,
RPTNMLTJJIKFFGE88CC,21,33.05,見使用執照,鋼筋混凝土造,83年10月26日,十九層,
RPPOMLTJJIKFFIE78CC,12,278.11,見其他登記事項,鋼筋混凝土造,92年12月23日,五層,
RPSNMLKKJIKFFGE97CC,24,423.50,見其他登記事項,見其他登記事項,80年6月10日,一層,
RPSNMLKKJIKFFDE67CC,27,126.14,,鋼筋混凝土造,78年4月3日,十二層,
RPSNMLKKJIKFFDE67CC,27,30.66,,鋼筋混凝土造,78年4月3日,十二層,
RPVOMLKKJIKFFAE77CC,27,251.09,商業用,鋼筋混凝土造,77年11月17日,十二層,
RPXOMLKKJIKFFAE97CC,19,25.48,住家用,鋼筋混凝土造,85年5月6日,十二層,
RPXOMLKKJIKFFAE97CC,19,9.42,見使用執照,鋼筋混凝土造,85年5月6日,十二層,
RPXNMLKKJIKFFBE97CC,19,113.39,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPOOMLKKJIKFFBE17CC,36,63.78,,鋼筋混凝土造,68年6月28日,五層,
RPRNMLKKJIKFFCE47CC,21,20.86,住家用,鋼筋混凝土造,83年8月9日,十二層,
RPVNMLKKJIKFFCE87CC,21,86.69,住家用,鋼筋混凝土造,83年8月9日,十二層,
RPVNMLKKJIKFFCE87CC,21,42.25,住家用,鋼筋混凝土造,83年8月9日,十二層,
RPUNMLLKJIKFFBE77CC,25,170.82,,鋼筋混凝土造,79年8月18日,十一層,
RPUNMLLKJIKFFBE77CC,25,37.62,,鋼筋混凝土造,79年8月18日,十一層,
RPXNMLLKJIKFFAE97CC,7,197.83,住家用,鋼筋混凝土造,97年10月14日,二十七層,
RPXNMLLKJIKFFAE97CC,7,38.37,住家用,鋼筋混凝土造,97年10月14日,二十七層,
RPXNMLLKJIKFFAE97CC,7,105.52,共有部分,鋼筋混凝土造,97年10月14日,二十七層,
RPOOMLLKJIKFFAE17CC,17,36.18,住家用,鋼筋混凝土造,87年8月4日,十四層,
RPOOMLLKJIKFFAE17CC,17,8.89,住家用,鋼筋混凝土造,87年8月4日,十四層,
RPOOMLLKJIKFFAE17CC,17,42.62,共有部分,鋼筋混凝土造,87年8月4日,十四層,
RPPNMLLKJIKFFEE57CC,15,207.11,住家用,見其它登記事項,89年6月23日,十四層,
