編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVRMLLJKIKFFBB77CA,20,21.93,住家用,鋼筋混凝土造,84年11月24日,二十四層,二十二層
RPVRMLLJKIKFFBB77CA,20,14.96,見其它登記事項,鋼筋混凝土造,84年11月24日,二十四層,
RPRPMLLJKIKFFBB17CA,9,220.64,見其它登記事項,鋼筋混凝土造,95年11月23日,三層,一層 二層 三層 屋頂突出物 地下一層
RPOOMLRJKIKFFBB37CA,3,292.62,見其它登記事項,鋼筋混凝土造,102年4月12日,四層,一層 二層 三層 四層 見其它登記事項
RPWNMLLKJIKFFCB57CA,6,23.27,見其他登記事項,鋼骨鋼筋混凝土造,98年6月23日,二十六層,
RPOOMLLKJIKFFCB86CA,8,289.53,住家用,鋼骨鋼筋混凝土造,96年5月23日,二十六層,五層
RPOOMLLKJIKFFCB86CA,8,99.69,見其他登記事項,鋼骨鋼筋混凝土造,96年5月23日,二十六層,
RPOOMLLKJIKFFCB86CA,8,102.76,見其他登記事項,鋼骨鋼筋混凝土造,96年5月23日,二十六層,
RPTPMLLKJIKFFCB47CA,1,312.31,見其他登記事項,鋼筋混凝土造,104年1月16日,五層,一層 二層 三層 四層 五層
RPTOMLTKJIKFFCB18CA,16,94.30,住家用,鋼筋混凝土造,88年4月29日,十四層,十二層
RPTOMLTKJIKFFCB18CA,16,39.40,共有部分,鋼筋混凝土造,88年4月29日,十四層,
RPQNMLLLJIKFFCB07CA,8,321.47,見其他登記事項,鋼筋混凝土造,96年9月19日,五層,一層 二層 三層 四層 五層
RPQNMLLLJIKFFCB07CA,8,2.23,見其他登記事項,鋼筋混凝土造,96年9月19日,五層,
RPRNMLLLJIKFFCB17CA,26,224.58,商業用,鋼筋混凝土造,79年1月23日,十二層,七層
RPRNMLLLJIKFFCB17CA,26,149.13,共有部分,鋼筋混凝土造,79年1月23日,十二層,
RPRPMLMKJIKFFCB37CA,9,125.69,住家用,鋼筋混凝土造,96年3月20日,十四層,九層
RPRPMLMKJIKFFCB37CA,9,83.95,見其他登記事項,鋼筋混凝土造,96年3月20日,十四層,
RPTOMLMKJIKFFCB47CA,1,89.72,住家用,鋼筋混凝土造,103年11月13日,二十一層,十一層
RPTOMLMKJIKFFCB47CA,1,85.95,見其他登記事項,鋼筋混凝土造,103年11月13日,二十一層,
RPVOMLMKJIKFFCB67CA,8,94.93,住家用,鋼筋混凝土造,96年10月12日,十五層,十層
RPVOMLMKJIKFFCB67CA,8,42.93,見其他登記事項,鋼筋混凝土造,96年10月12日,十五層,
RPVOMLMKJIKFFCB67CA,8,28.74,見其他登記事項,鋼筋混凝土造,96年10月12日,十五層,
RPWOMLMKJIKFFCB77CA,21,94.36,住家用,鋼筋混凝土造,83年6月14日,十三層,六層
RPWOMLMKJIKFFCB77CA,21,15.55,共有部分,鋼筋混凝土造,83年6月14日,十三層,
RPOPMLMJKIKFFCB07CA,16,77.40,住家用,鋼筋混凝土造,88年5月6日,十四層,十三層
RPOPMLMJKIKFFCB07CA,16,36.95,共有部分,鋼筋混凝土造,88年5月6日,十四層,
RPSNMLNLJIKFFCB47CA,34,106.60,住家用,加強磚造,70年9月16日,二層,一層 二層
RPVPMLPLJIKFFCB18CA,17,134.42,住家用,鋼筋混凝土造,87年10月8日,十四層,三層
RPVPMLPLJIKFFCB18CA,17,64.65,共有部分,鋼筋混凝土造,87年10月8日,十四層,
RPWOMLPLJIKFFCB18CA,22,109.95,住商用,鋼筋混凝土造,82年11月20日,八層,一層 二層
RPWOMLPLJIKFFCB18CA,22,29.32,共有部分,鋼筋混凝土造,82年11月20日,八層,
