編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLPLJIKFFAI28CA,20,16.57,共有部份,鋼筋混凝土造,85年3月11日,二十層,
RPQNMLOLJIKFFAI87CA,2,136.19,住家用,見其他登記事項,102年9月2日,三層,一層 二層 三層
RPRNMLMLJIKFFAI77CA,53,37.12,住家用,見其他登記事項,51年12月15日,一層,一層
RPXNMLOJKIKFFAI48CA,30,73.20,住家用,鋼筋混凝土造,74年9月19日,五層,三層
RPXNMLOJKIKFFAI48CA,30,5.34,共有部份,鋼筋混凝土造,74年9月19日,五層,
RPXNMLOJKIKFFAI48CA,30,8.08,共有部份,鋼筋混凝土造,74年9月19日,五層,
RPOOMLOJKIKFFAI67CA,11,108.26,住家用,鋼筋混凝土造,93年11月3日,十四層,七層
RPOOMLOJKIKFFAI67CA,11,75.38,共有部份,鋼筋混凝土造,93年11月3日,十四層,
RPRNMLNJKIKFFAI77CA,20,91.72,住家用,鋼筋混凝土造,84年11月9日,十六層,八層
RPRNMLNJKIKFFAI77CA,20,32.48,共有部份,鋼筋混凝土造,84年11月9日,十六層,
RPSNMLSLJIKFFAI48CA,37,94.82,住家用,鋼筋混凝土加強磚造,67年11月3日,二層,一層 二層 夾層
RPROMLLJKIKFFAI67CA,22,257.96,住商用,鋼筋混凝土造,83年1月21日,四層,一層 二層 三層 四層 騎樓
RPPNMLSKJIKFFAI08CA,23,145.36,住家用,鋼筋混凝土造,81年11月24日,四層,一層 二層 三層 四層
RPPOMLQKJIKFFAI97CA,16,80.45,見其他登記事項,鋼筋混凝土造,88年10月22日,五層,一層 二層 三層 四層 五層
RPWNMLRKJIKFFAI68CA,32,96.03,住家用,鋼筋混凝土造,72年9月20日,五層,四層
RPWNMLRKJIKFFAI68CA,32,10.05,共有部份,鋼筋混凝土造,72年9月20日,五層,
RPWNMLRKJIKFFAI68CA,32,22.11,共有部份,鋼筋混凝土造,72年9月20日,五層,
RPUNMLNLJIKFFAI18CA,24,210.49,見其他登記事項,鋼筋混凝土造,80年7月15日,四層,一層 二層 三層 四層 地下層
RPWNMLLJKIKFFAI08CA,22,200.47,住家用,鋼筋混凝土造,83年4月7日,四層,一層 二層 三層 四層
RPOOMLLJKIKFFAI37CA,20,109.04,住家用,鋼筋混凝土造,84年10月2日,十三層,四層 五層
RPOOMLLJKIKFFAI37CA,20,20.62,共有部份,鋼筋混凝土造,84年10月2日,十四層,
RPOOMLLJKIKFFAI37CA,20,23.39,共有部份,鋼筋混凝土造,84年10月2日,十四層,
RPQNMLTLJIKFFAI38CA,19,90.59,住家用,鋼筋混凝土造,85年9月20日,七層,四層
RPQNMLTLJIKFFAI38CA,19,31.65,共有部份,鋼筋混凝土造,85年9月20日,七層,
RPXNMLKMJIKFFAI28CA,23,128.24,住商用,鋼筋混凝土造,81年6月26日,十五層,一層 二層 三層
RPXNMLKMJIKFFAI28CA,23,38.42,共有部份,鋼筋混凝土造,81年6月26日,十五層,
RPWNMLOLJIKFFAI48CA,22,87.54,住家用,鋼筋混凝土造,82年10月27日,十層,九層
RPWNMLOLJIKFFAI48CA,22,12.12,共有部份,鋼筋混凝土造,82年10月27日,十層,
