鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物),新竹市新竹巿中華路三段1~30號,3.93,商,,,10410,土地1建物1車位0,四層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890417,39.3,1,1,1,有,有,1420000,36132,,0.0,0,,RPRNMLTKJIKFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈濟路181~210號,21.76,住,,,10410,土地1建物1車位1,十九層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040114,191.06,3,2,2,有,有,14520000,75997,坡道平面,18.31,0,,RPVPMLSKJIKFFAO86CA
新竹市,房地(土地+建物),新竹市新竹巿明湖路721~750號,14.1,其他,,,10410,土地1建物1車位0,地下一層,四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,50.46000000000001,1,0,1,有,有,2300000,45581,,0.0,0,,RPROMLSKJIKFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿埔頂三路61~90號,22.74,住,,,10405,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000501,196.73,4,2,2,有,有,12800000,65064,坡道平面,0.0,0,,RPPOMLQKJIKFFAO68DA
新竹市,房地(土地+建物),新竹市新竹巿元培街151~180號,305.25,,山坡地保育區,農牧用地,10409,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,,208.1,8,2,2,有,無,3600000,17299,,0.0,0,,RPQNMLMKJIKFFAO18CA
新竹市,土地,柑林段421~450地號,149.21,,山坡地保育區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,812340,5444,,0.0,0,,RPTPMLQJJIKFFAO98CA
新竹市,房地(土地+建物),新竹市新竹巿虎林街123巷18弄1~30號,63.3,,鄉村區,乙種建築用地,10409,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850127,218.58999999999997,4,3,3,有,無,8150000,37284,,0.0,0,,RPVSMLPJJIKFFAO76CA
新竹市,房地(土地+建物),新竹市新竹巿經國路二段181~210號,7.27,商,,,10410,土地1建物1車位0,六層,十一層,辦公商業大樓,辦公室,鋼筋混凝土造,0971108,64.98,3,1,2,有,有,5000000,76947,,0.0,0,買賣總價內含：冷氣3台、冰箱1台、洗衣機1台、沙發1組、整套床組(含床墊)、床墊1個、衣櫃3個、茶几桌1張、鞋櫃1個及DVD,RPVRMLPJJIKFFAO66CA
新竹市,房地(土地+建物),新竹市新竹巿金山東二街1~30號,83.01,住,,,10410,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0880409,207.03,9,0,9,有,無,15300000,73902,,0.0,0,,RPWRMLPJJIKFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿光華東街61~90號,28.68,住,,,10408,土地2建物1車位2,一層，二層,七層,店面(店鋪),住商用,鋼筋混凝土造,,149.28,2,2,2,有,有,11500000,77036,升降機械,0.0,0,,RPXOMLQJJIKFFAO66CA
新竹市,土地,古賢段211~240地號,912.78,,特定農業區,農牧用地,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8590000,9411,,0.0,0,,RPROMLTJJIKFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿經國路二段1~30號,8.96,商,,,10409,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0960520,89.33,2,2,1,有,有,5880000,65823,升降機械,0.0,0,,RPSPMLKKJIKFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿武陵路151~180號,15.34,住,,,10410,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850131,158.01,5,2,2,有,有,9000000,56958,坡道平面,0.0,0,,RPTPMLKKJIKFFAO48CA
新竹市,土地,福林段1021~1050地號,536.67,,特定農業區,農牧用地,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8300000,15466,,0.0,0,,RPUQMLTJJIKFFAO86CA
新竹市,房地(土地+建物),新竹市新竹巿富群街45巷6弄1~30號,170.38,,山坡地保育區,丙種建築用地,10410,土地6建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960709,406.34,5,2,3,有,有,12100000,29778,,0.0,0,,RPSNMLKKJIKFFAO18CA
新竹市,房地(土地+建物),新竹市新竹巿光華南街31~60號,25.47,住,,,10410,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690429,93.33,3,2,2,有,有,3750000,40180,,0.0,0,,RPTOMLLKJIKFFAO48CA
新竹市,土地,東明段961~990地號,75.0,其他,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22880000,305067,,0.0,0,,RPOOMLMKJIKFFAO08CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新路1~30號,5.35,其他,,,10409,土地1建物1車位1,十三層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970911,63.56999999999999,1,1,1,有,有,5000000,78666,坡道平面,0.0,0,,RPUNMLLKJIKFFAO48CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿光華二街91~120號,22.09,住,,,10410,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860717,121.21,3,2,2,有,有,5750000,47438,坡道機械,0.0,0,,RPPSMLKKJIKFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿明湖路1200巷31~60號,17.09,,山坡地保育區,丙種建築用地,10409,土地5建物1車位1,四層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970522,91.01,0,0,1,無,有,2100000,23074,坡道平面,21.52,0,,RPOTMLRKJIKFFAO09CA
新竹市,房地(土地+建物),新竹市新竹巿中正路485巷1~30號,22.77,住,,,10410,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841030,118.97,3,2,2,有,有,5000000,42027,,0.0,0,,RPTPMLNKJIKFFAO78CA
新竹市,房地(土地+建物),新竹市新竹巿建功二路1~30號,9.42,住,,,10410,土地1建物1車位0,四層,六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960929,36.019999999999996,1,1,1,有,有,3000000,83287,,0.0,0,,RPSNMLQKJIKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿立鵬路61~90號,19.27,其他,,,10410,土地1建物1車位2,十二層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031117,266.83,4,2,2,有,有,17450000,65395,坡道平面,0.0,2550000,車位總價中無法拆分個別車位價格,RPQNMLNKJIKFFAO28CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿立鵬路91~120號,17.16,其他,,,10410,土地1建物1車位1,十八層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031117,158.6,4,2,2,有,有,16580000,104546,坡道平面,0.0,1050000,,RPRNMLNKJIKFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿食品路31~60號,12.38,住,,,10410,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881101,146.69,2,2,2,有,有,8800000,59990,升降平面,43.7,0,,RPQOMLNKJIKFFAO38CA
新竹市,房地(土地+建物),新竹市新竹巿光華南街10巷1~30號,28.3,住,,,10410,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,72.0,3,2,1,有,無,2700000,37500,,0.0,0,,RPQOMLTJJIKFFAO98DA
新竹市,土地,建華段841~870地號,36.92,其他,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,8126,,0.0,0,,RPOPMLKKJIKFFAO18EA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈濟路211~240號,21.09,住,,,10410,土地1建物1車位1,二十二層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040114,182.47000000000003,3,2,2,有,有,14950000,81931,坡道平面,14.59,0,,RPPPMLSKJIKFFAO88CA
新竹市,房地(土地+建物),新竹市新竹巿學府路18巷1~30號,33.94,住,,,10410,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,90.81,3,2,2,有,無,4500000,49554,,0.0,0,,RPUNMLNLJIKFFAO78CA
新竹市,房地(土地+建物),新竹市新竹巿四維路121~150號,10.38,其他,,,10409,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820505,99.13000000000001,2,2,1,有,有,4000000,40351,,0.0,0,,RPUOMLRLJIKFFAO66CA
新竹市,房地(土地+建物),新竹市新竹巿民權路56巷1~30號,4.71,商,,,10410,土地1建物1車位0,五層,十二層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1030830,43.07,1,1,1,有,有,3400000,78941,,0.0,0,,RPPOMLPLJIKFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿天府路一段481~510號,11.0,住,,,10410,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970520,130.93,3,2,2,有,有,5000000,38188,坡道平面,30.16,0,,RPUPMLRLJIKFFAO76CA
新竹市,土地,忠孝段901~930地號,331.17,農,,,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,12078,,0.0,0,,RPVOMLQKJIKFFAO76EA
新竹市,房地(土地+建物),新竹市新竹巿光華南街31~60號,13.72,住,,,10409,土地1建物1車位0,一層，二層,九層,店面(店鋪),住家用,鋼筋混凝土造,0821104,110.85,1,1,1,有,有,6150000,55475,,0.0,0,,RPROMLNKJIKFFAO48CA
新竹市,房地(土地+建物),新竹市新竹巿西大路780巷7弄1~30號,85.47,住,,,10410,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030310,271.07,5,2,3,有,有,17800000,65666,,0.0,0,,RPSNMLNKJIKFFAO48CA
新竹市,土地,科園段科園小段91~120地號,83.0,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,120482,,0.0,0,,RPXOMLMKJIKFFAO98CA
新竹市,房地(土地+建物),新竹市新竹巿南大路634巷1~30號,32.8,住,,,10410,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701118,80.27,3,1,3,有,無,2200000,27407,,0.0,0,,RPOQMLKKJIKFFAO08CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿新莊街185巷31~60號,15.73,住,,,10409,土地3建物1車位1,六層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0961228,99.80000000000001,1,1,1,有,有,5880000,58918,坡道平面,0.0,0,,RPUOMLLKJIKFFAO58CA
新竹市,房地(土地+建物),新竹市新竹巿振興路121~150號,71.89,住,,,10410,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040430,222.45,5,2,6,有,無,17200000,77321,,0.0,0,,RPVNMLMKJIKFFAO68CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿自由路95巷18弄1~30號,18.34,商,,,10409,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960115,156.54,4,2,2,有,有,8980000,57366,坡道機械,0.0,0,,RPQOMLMKJIKFFAO28CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿水田街150巷1~30號,29.7,住,,,10410,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831017,120.03999999999999,3,2,1,有,無,6300000,52483,坡道機械,0.0,0,,RPTOMLMKJIKFFAO58CA
新竹市,土地,仙宮段331~360地號,2.1,其他,,,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,202747,96546,,0.0,0,新竹市政府協議價購(包含)公共設施保留地之交易。,RPVOMLMKJIKFFAO78CA
新竹市,房地(土地+建物),新竹市新竹巿柯湳一街61~90號,44.79,,山坡地保育區,丙種建築用地,10410,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900601,58.75,3,0,3,有,有,1770000,30128,,0.0,0,,RPRNMLLKJIKFFAO18CA
新竹市,房地(土地+建物),新竹市新竹巿民富街151~180號,29.5,商,,,10410,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671222,93.27,3,2,1,有,無,2950000,31629,,0.0,0,,RPTNMLLKJIKFFAO38CA
新竹市,房地(土地+建物),新竹市新竹巿中正路96巷1~30號,5.07,商,,,10410,土地1建物1車位0,五層,十層,辦公商業大樓,辦公室,鋼筋混凝土造,0971230,36.900000000000006,1,1,1,有,有,3980000,107859,,0.0,0,,RPTNMLQKJIKFFAO88CA
新竹市,房地(土地+建物),新竹市新竹巿中正路181~210號,3.5,商,,,10410,土地1建物1車位0,五層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960305,36.519999999999996,1,1,1,有,有,2250000,61610,,0.0,0,,RPWNMLQKJIKFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新路19巷61~90號,18.79,其他,,,10410,土地3建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980601,187.63,3,2,2,有,有,13410000,71474,坡道平面,0.0,0,,RPTOMLNKJIKFFAO68CA
新竹市,房地(土地+建物),新竹市新竹巿建新路61~90號,26.44,住,,,10410,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0861111,147.34,3,2,2,有,有,8100000,54975,,0.0,0,車位僅有使用權，車位使用情形依管委會規定,RPRPMLNKJIKFFAO58CA
新竹市,房地(土地+建物),新竹市新竹巿香北路151~180號,98.25,住,,,10410,土地2建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0780829,241.99,4,3,3,有,無,17000000,70251,,0.0,0,,RPSOMLQKJIKFFAO09EA
新竹市,房地(土地+建物)+車位,新竹市新竹巿明湖路1050巷301~330號,40.77,,山坡地保育區,丙種建築用地,10410,土地2建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860715,118.97,2,2,1,有,有,3430000,28831,坡道平面,38.96,0,,RPTPMLRLJIKFFAO66CA
